,organization_name,address,physicalcity,physicalzipcode,lat,lng,Phone Number,oupatient_offered,residential_offered,partial_hosp_offered,transitional_living_offered,peer_services_offered,peer_mentoring,peer_groups_12steps,peer_transitional_living,serves_adolescent_females,serves_adolescent_males,serves_children,serves_faith_based,serves_families,serves_female_only,serves_male_only,serves_females_males_both,serves_preg_females,serves_veterans,serves_other,serves_others_text,v253,v254,v255,pleaseindicatespecialtrainingadd,pleaseindicatespecialtrainingbio,pleaseindicatespecialtrainingdia,pleaseindicatespecialtrainingemd,pleaseindicatespecialtraininggam,pleaseindicatespecialtrainingneu,pleaseindicatespecialtrainingsee,pleaseindicatespecialtrainingsev,pleaseindicatespecialtrainingtra,pleaseindicatespecialtrainingnos,pleaseindicatespecialtrainingoth,v267,county,border_counties,region
Kentucky,"Catholic Charities, Covington",3629 Church St,Covington,41015,39.0479968,-84.5024201,859-581-8974,1,,,,,,,,1,1,1,1,1,,,1,1,1,1,Marriage,COA; BBB,,,1,,,,,,,,1,,,,Kenton,"Campbell, Pendleton, Grant, Boone",Northern Kentucky
Kentucky,Transitions WRAP,1629 Madison Avenue,Covington,41073,39.0710427,-84.5072432,859-491-2090,1,1,,1,,1,1,1,1,,1,,1,1,,,1,1,,,,,,1,,1,,,,1,,,,,,Kenton,"Campbell, Pendleton, Grant, Boone",Northern Kentucky
Kentucky,Crossroads,610 American Greeting Road,Corbin,40701,36.9867427,-84.0931518,(606)-526-9552,,1,,1,,,,,,,,,,,1,,,,,,AODE,1,Joint Commission,1,,,,,,,,,,,,Laurel,"Jackson, Clay, Knox, Whitley, McCreary, Pulaski, Rockcastle",Cumberland Valley
Kentucky,Stepworks Recovery Centers,3825 Marydale Road,London,42741,37.0977453,-83.8970304,800-545-9031,1,1,1,,,,1,,,,,,,,,1,1,,,,pending,1,CARF- pending,1,,,,,,,,,,,,Laurel,"Jackson, Clay, Knox, Whitley, McCreary, Pulaski, Rockcastle",Cumberland Valley
Kentucky,"Counseling and Psychiatry Office of Paul Dalton, MS, LPCC, CADC","501 Darby Creek Road, Suite 11",Lexington,40509,38.007821,-84.4332254,8593380466,1,,,,,,,,1,1,1,,1,,,1,,,,,,,,1,,1,,,,,,1,,,,Madison,"Fayette, Clark, Estill, Jackson, Rockcastle, Garrard, Jessamine",Bluegrass
Kentucky,"Robertson Ward, MD",210 St George St  Suite 105,Richmond,40475,37.7389771,-84.3145929,859-779-4440,1,,,,,,,,1,1,,1,,,,1,1,1,,,,,,1,,,,,,,,,,,,Madison,"Fayette, Clark, Estill, Jackson, Rockcastle, Garrard, Jessamine",Bluegrass
Kentucky,New Hope Community Services,"901 US HWY 68, Ste 900",Maysville,41056,38.6521933,-83.8240067,606-584-7055,1,,,,1,1,1,,1,1,1,1,1,,,1,,1,1,LBGT,AODE,1,LPA,1,,,,1,,,,1,,1,REBT,Mason,"Lewis, Fleming, Robertson, Bracken",Buffalo Trace
Kentucky,"West Kentucky Drug and Alcohol Intervention Services, LLC",1325 US HWY 45 N,Mayfield,42066,36.7596535,-88.6417408,270-247-4212 OR 800-273-1282,1,,,,,,,,,,,,,,,,,,,,aode 810025,,,,,,,,,,,,1,,,McCracken,"Ballard, Carlisle, Graves, Livingston, Marshall",Purchase
Kentucky,Shepherd's Shelter/Ross Rehab,236 Bridgett Drive,Mount Sterling,40353,38.0520812,-83.931245,859-498-7111,1,1,,1,1,1,1,1,,,,1,1,,,1,,,,,RAS,1,SW,1,,,,,,,,,,1,Recovery Dynamics,Montgomery,"Bath, Menifee, Powell, Clark, Bourbon",Gateway
Kentucky,Cindy Baird DUI Services,132 North Main Street                  and 113 South 3rd St. Central City KY 42330,Greenville,42345,37.2011539,-87.1788854,270-338-2280,1,,,,,1,1,,,,,,,,,1,,,,,Cabinet for Health and Family Services: OIG. Driving Under the Influence Program     Cabinet for Health and Family Services/Driving Under the Influence Program,,,1,,,,,,,,,,,,Muhlenberg,"Ohio, Butler, Logan, Todd, Christian, Hopkins, McLean",Pennyrile
Kentucky,BHG-HAZARD,48 Independnce Drive,Hazard,41701,37.2842826,-83.2261354,606-487-1646,1,,,,,1,1,,,,,,,,,1,1,,,,,,,1,,,,,,,,,,,,Perry,"Breathitt, Knott, Letcher, Harlan, Leslie, Clay, Owsley",Kentucky River
Kentucky,Mountain Comprehensive Care Center,104 South Front Ave,Prestonsburg,41653,37.6666946,-82.7749584,606-886-8572,1,1,,,1,1,1,,1,1,1,,,,,1,1,1,,,,1,Peer Support,1,,1,,,,1,1,1,,,,Pike,"Martin, Letcher, Knott, Floyd",Big Sandy
Kentucky,VanArk Behavioral Management,290 East Court Street,Prestonsburg,41653,37.6671918,-82.7749193,606-886-9989,1,,,,,1,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,Pike,"Martin, Letcher, Knott, Floyd",Big Sandy
Kentucky,Westcare Hal Rogers Recovery Center,10057 Elkhorn Creek Road,Ashcamp,41512,37.2538386,-82.4812097,6067547077,1,1,,1,,,1,,,,,,,,1,,,,,,,,,1,,,,,,1,,,,,,Pike,"Martin, Letcher, Knott, Floyd",Big Sandy
Kentucky,Comprehend,"611 Forest Avenue, Maysville, Ky. 41056",Maysville,41056,38.6422712,-83.7513876,606-564-4016,1,,,,,,,,1,1,1,1,1,,,1,1,1,,,CMHC,,,1,,,,1,1,1,1,1,,,,Robertson,"Bracken, Mason, Fleming, Nicholas, Harrison",Buffalo Trace
Kentucky,"The Family Healing Center, Inc",The Blair Building     241 East Main Street,Morehead,40351,38.18418,-83.4333106,606-548-1502,1,,,,,,,,1,1,1,1,1,,,1,1,1,,,AODE,1,DUI,1,,1,,,,,,,,,,Rowan,"Lewis, Carter, Elliott, Morgan, Menifee, Bath, Fleming",Gateway
Kentucky,ReNewed Living DUI and Substance Abuse Services,72 High Street,Russell Springs,42642,37.058459,-85.0880987,270-866-3535,1,,,,,,,,,,,,,,,1,,,,,,,,1,,,,,,,,,,,,Russell,"Casey, Pulaski, Wayne, Clinton, Cumberland, Adair",Lake Cumberland
Kentucky,Recovery Works,"3107 Cincinnati Road Georgetown, KY.    ",Georgetown,40324,38.2222429,-84.5675056,(888)982-1244 or (502)570-9313,1,1,1,1,,,,,,,,,,,,1,,,,,"AODE for Detox,Residential,PHP and IOP  ",1,AODE Outpt,1,,,,,,,,,,,,Scott,"Grant, Harrison, Bourbon, Fayette, Woodford, Franklin, Owen",Bluegrass
Kentucky,Creative Spirits Ministries,12730 Townparke Way Suite 201,Louisville,40243,38.2424578,-85.5193589,502 254-9555,1,,,,1,1,,1,1,1,1,1,1,1,1,1,,,1,,AODE/BHSOP,,,1,,1,,,,,,1,,,,Shelby,"Henry, Franklin, Anderson, Spencer, Jefferson, Oldham",KIPDA
Kentucky,Educational Counseling of America ECOA,920 Clay St,Bowling Green,42101,36.9976835,-86.4460193,270/843-9130,1,,,,,1,1,,,,,,,,,1,,,1,Foreigners,Drug and Alcohol,1,DUI,1,,,,,,,,,,,,Warren,"Edmonson, Barren, Allen, Simpson, Logan, Butler",Barren River
Kentucky,"Haven4Change, Inc.",1500 Parkside Drive,Bowling Green,42101,36.9907584,-86.4713811,270-796-1764,,1,,,,,1,1,,,,,,1,,,1,,,,,,,1,,,,,,,,1,,,,Warren,"Edmonson, Barren, Allen, Simpson, Logan, Butler",Barren River
Kentucky,"LIfeskills, Inc.",380 Suwannee Trail Street,Bowling Green,42103,36.9666319,-86.3980492,(270) 901-5000,1,1,,,1,1,,,1,1,1,1,1,1,1,1,1,1,,,CMHC and AODE,,,1,,1,1,1,,1,1,1,,1,Gambling and DBT training is limited,Warren,"Edmonson, Barren, Allen, Simpson, Logan, Butler",Barren River
Kentucky,"Lifeskills, Inc.  -  Park Place Recovery Center",822 Woodway Drive,Bowling Green,42101,36.9932831,-86.4723252,270-901-5000  -  Ext 1146; 1268,1,1,,,,1,1,,,,,,,,,1,1,1,,,,,,1,,,1,,,,,,,,,Warren,"Edmonson, Barren, Allen, Simpson, Logan, Butler",Barren River
Kentucky,QUESTHOUSE,2349 RUSSELLVILLE ROAD,BOWLING GREEN,42101,36.970375,-86.4784425,270-781-3387,1,1,,,,1,1,,,,,1,1,,,1,1,1,,,KY 810200,1,CSW &,1,,1,,1,,,,,,,,Warren,"Edmonson, Barren, Allen, Simpson, Logan, Butler",Barren River
Kentucky,"Selfrefind Bowling Green, KY",640 Wright Avenue,Bowling Green,42101,36.9871164,-86.4279031,859-209-2330,,,,,,1,,,,,,,,,,1,,,,,,,,1,,,,,,,,,,,,Warren,"Edmonson, Barren, Allen, Simpson, Logan, Butler",Barren River
Kentucky,The Adanta Group,130 Southern School Road,Somerset,42501,37.0371142,-84.6227617,606-679-4782,1,,,,,,,,1,1,1,,1,1,1,1,1,1,,,AODE DUI,,,1,,,,1,,,1,1,,,,Wayne,"Pulaski, McCreary, Clinton, Russell",Lake Cumberland
Kentucky,Bluegrass.org,1351 Newtown Pike,Lexington,40511,38.082537,-84.4934789,(859) 1-800-928-8000,1,1,,,1,1,1,,1,1,1,,1,,,1,1,1,,,JCAHO accredited,,,1,,1,1,1,,1,1,1,,,,Woodford,"Scott, Franklin, Fayette, Jessamine, Mercer, Anderson",Bluegrass
