organization_name,,address,physicalcity,,,location,lat,lng,Phone Number,,,,,,,,residential_offered,oupatient_offered,oupatient_offered,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q2,Q1,Q4,Q5,Q7,Q8,,,,Q9,Q15,Q19_1,Q19_2,Q19_3,Q20_1,Q20_2,Q20_3,Q10_1,,Q10_2,Q10_3,Q10_4,Q10_5,Q52,Q11_1,Q11_2,Q11_3,Q11_4,Q11_5,Q11_6,Q11_7,Q11_8,Q11_9,Q11_10,Q11_11,Q11_11_TEXT,Q28,Q42,Q33,Q46,Q53,Q38,Q43_1,Q43_2,Q43_3,Q43_3_TEXT,Q39,Q40,Q44,Q54,Q47,Q13_1,Q13_2,Q21_1,Q21_2,Q23,Q12_1,Q12_2,Q12_3,Q12_4,Q12_5,Q12_6,Q12_7,Q45,Q17_1,Q17_2,Q17_3,Q17_4,Q17_5,Q24,Q48,Q49,Q50,Q51_1,Q51_2,Q51_3,Q51_4,Q51_5,Q51_5_TEXT,Q18,Q41,Q56,Q37,LocationLatitude,LocationLongitude,LocationAccuracy
,2,,,,," , Kentucky ",37.8393332,-84.2700179,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,lm will call back,1,38.02870178,-84.50749969,-1
,2,,,,," , Kentucky ",37.8393332,-84.2700179,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,will call back next week,1,38.02870178,-84.50749969,-1
,2,,,,," , Kentucky ",37.8393332,-84.2700179,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,will call back next week,1,38.02870178,-84.50749969,-1
Selfrefind,1,415 KY 225,Barbourville,Knox,40906,"415 KY 225 Barbourville, Kentucky 40906",36.8606029,-83.8780585,859-605-6490,2,,,,,,,,1,,1,,1,,,,,,,,,,,,,,,,,,1,1,1,1,1,"several different job titles, anybody that needs credentials",1,1,"Most physicians have ex members, several addictionalogists on staff",,,,1,1,1,,,,,,,,1,1,,,,,,2,2,,2,,,,,,,1,,,1,38.02870178,-84.50749969,-1
New Age Consulting,1,"2900 West Broadway, Suite 224",Lousiville,Jefferson,40211,"2900 West Broadway, Suite 224 Lousiville, Kentucky 40211",38.2492889,-85.8004586,502-708-2877,2,,,,,,,,1,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,,,,,,,1,1,1,,,,,,2,1,Just have to be able to come (building is ADA equipped) and participate.,2,,,,,,,1,,,1,37.99519348,-84.36889648,-1
,2,,,,," , Kentucky ",37.8393332,-84.2700179,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,call back next week,1,38.02870178,-84.50749969,-1
,3,,,,," , Kentucky ",37.8393332,-84.2700179,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,37.99519348,-84.36889648,-1
,2,,,,," , Kentucky ",37.8393332,-84.2700179,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,call back next week,1,38.02870178,-84.50749969,-1
,2,,,,," , Kentucky ",37.8393332,-84.2700179,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,next week,1,38.02870178,-84.50749969,-1
Our Lady of Bellefonte Hospital- Bellefonte Behavior Health Center,1,1000 Saint Christopher Drive,Ashland,Boyd,41101,"1000 Saint Christopher Drive Ashland, Kentucky 41101",38.507836,-82.6951397,606-836-3148,1,1,1,1,1,1,1,1,1,1,1,,,1,1,,,,,,,,,,,,2,1,2,,,,,,,,,,,,,,1,1,1,,1,1,,1,1,,1,1,1,1,1,,1,2,1,"Have to be medically cleared before can enter unit, nurse unable to state disqualifying health conditions. Cannot be pregnant. ",2,,,,,,,1,"For detox self pay, must have $1000 down",,1,37.99519348,-84.36889648,-1
Addiction Recovery Care and Odyssey Inc,1,125 South Main Cross Street,Louisa,Lawrence,41230,"125 South Main Cross Street Louisa, Kentucky 41230",38.1152694,-82.6027189,606-638-0938,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,,,1,1,1,1,1,1,1,1,,,,1,1,1,Any health condition they have would need to be evaluated by the nurse on staff to make accommodations could be made,2,,,,,,,1,"Caller was unsure of the type of program offered. For more detailed answers, contact Bridgett (email provided). ",,1,37.99519348,-84.36889648,-1
Liberty Place Recovery Center for Women,1,218 Lake Street,Richmond,Madison,40475,"218 Lake Street Richmond, Kentucky 40475",37.7421032,-84.2767275,859-625-0104 ext 237,1,,,,,,1,1,,,,,,1,,,,,,,1,,,,,,1,,1,"no narcotics, neortin, seraquil, trazadone, visteril, suboxone",,,,,,,,,,,,,1,,1,2,,,,,,1,,,,,,,,2,2,,2,,,,,,,1,"Peer based model, ",,1,38.01589966,-84.48470306,-1
Van Hoose and Associates,1,501 Darby Creek Road Suite 3,Lexington,Fayette,40505,"501 Darby Creek Road Suite 3 Lexington, Kentucky 40505",38.007821,-84.4332254,859-263-2377,2,,,,,,,,1,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,,,,,1,,,1,1,,,,,,2,1,no handicap access- 4 steps coming up,2,,,,,,,1,"Carla is a LCSW and has another provider that rents space from her, but is not associated with her business(John something). She usually recommends sending people to MAR in ATL or FIRST STEPS in Pine Grove Mississippi.   ",,1,37.98869324,-84.47769928,-1
"Offices of Paul Dalton, LPCC, CADC",1,501 Darby Creek Road Suite 11,Lexington,Fayette,40509,"501 Darby Creek Road Suite 11 Lexington, Kentucky 40509",38.007821,-84.4332254,859-338-0466,2,,,,,,,,1,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,1,,,,,1,,1,1,1,,,,,,2,1,not handicap access,2,,,,,,,1,Usually refers out to the Ridge for rex tx,,1,37.98869324,-84.47769928,-1
Counseling Associated of Lexington,1,274 Southland Drive St 204,Lexington,Fayette,40503,"274 Southland Drive St 204 Lexington, Kentucky 40503",38.0138346,-84.5232619,859-278-3456,2,,,,,,,,1,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,1,,,1,,1,,,1,1,1,1,1,1,1,2,2,,2,,,,,,,1,"Providers: Dr. Donald Beal PHD in psych, Daniel Lee LCSW, Kay Jackson LCSW, Regina Chanda LCSW, Robert Mason LCSW, Bob Briggs LCDC level three- They all see a lot of subtance abuse patients. ",,1,37.98869324,-84.47769928,-1
Windows of Discovery,1,650 North Main Street st 224,Somerset,Pulaski,42501,"650 North Main Street st 224 Somerset, Kentucky 42501",37.0920222,-84.6041084,606-678-9183,2,,,,,,,,1,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,1,,,,,,,,1,1,,,,,,2,2,,2,,,,,,,1,"LCSW, LPCC, PHD, LPCA and CADC at all facilities. They have three locations, Somerset( which I already provided) and London KY: 105 S. Broad Street London, KY 40741 and Lexington: 389 Waller Avenue Ste 110 Lexington, KY 40507. Use the 606-678-9183 number to reach any facility. They do NOT accept insurance, but do work on a sliding fee scale. ",,1,37.98869324,-84.47769928,-1
Bluegrass.org,1,124 East Office Street,Harrodsburg,Mercer,40330,"124 East Office Street Harrodsburg, Kentucky 40330",37.7600338,-84.8431191,859-734-5486 local office or central intake 800-928-8000,2,,,,,,,,1,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,,1,1,,1,1,,1,1,1,1,1,1,1,1,2,,2,,,,,,,1,"For substance abuse specifically they offer an IOP program which does NOT take medicaid.  They also have a counseling branch that has  LPCC, LCSW and MDs for med management, this portion does take Medicaid as well as the other previously listed",,1,37.98869324,-84.47769928,-1
Next Step Program ( with the Methodist Home),1,2050 Lexington Road,Versailles,Woodford,40383,"2050 Lexington Road Versailles, Kentucky 40383",38.0481522,-84.6925372,859-753-7369,2,,,,,,,,1,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,1,,,,,,,1,,,,,,,,2,2,,1,,,,,1,21 and under,1,"Next Steps program is a community based program. Therapists have the ability to come to the client. This program only serves the following counties: Garrad, Jessamine, Mercer, Clark, Anderson, Woodford, Boyle, Bourbon and Powell. This program also offers case management services to aid the recovery process.  ",,1,37.92070007,-84.41770172,-1
,1,,,,," , Kentucky ",37.8393332,-84.2700179,,2,,,,,,,1,,,,,,1,,,,,,,,1,1,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-1
,1,,,,," , Kentucky ",37.8393332,-84.2700179,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-1
,,,,,," , Kentucky ",37.8393332,-84.2700179,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-1
,,,,,," , Kentucky ",37.8393332,-84.2700179,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-1
,,,,,," , Kentucky ",37.8393332,-84.2700179,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-1
karen's place,1,125 South Main Cross St,Louisa,Lawrence,41230,"125 South Main Cross St Louisa, Kentucky 41230",38.1152694,-82.6027189,606-638-0938,2,,,,,,,1,1,,1,,,1,,,,,,1,,,,,,,2,1,1,"Opiates, Pain meds",,,,,,,,,,,,,1,1,1,,,1,,1,,,1,2,1,,,,,2,2,,2,,,,,,,1,,,1,38.04020691,-84.53890228,-1
Selfrefind,1,71 Conn Street,Ivel,Floyd,41642,"71 Conn Street Ivel, Kentucky 41642",37.5801298,-82.6609788,866-755-4258,2,,,,,,,,1,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,,,,,,,,1,1,,,,,,2,2,,2,,,,,,,1,This facility is looking to accept Medicare at the end of March.,,1,38.04020691,-84.53890228,-1
Hand of Hope,1,"1212 Bath Avenue, Suite 101",Ashland,Bathe,41101,"1212 Bath Avenue, Suite 101 Ashland, Kentucky 41101",38.4780363,-82.6462067,606-393-5926,2,,,,,,,,1,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,1,,1,1,,1,,,1,1,1,,1,,,2,2,,2,,,,,,,1,,,1,38.04020691,-84.53890228,-1
Ultimate Treatment Center,2,,,,," , Kentucky ",37.8393332,-84.2700179,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No better contact time given. Kicked to general answering machine.,1,38.04020691,-84.53890228,-1
E Town Addiction Solutions LCC,1,"2645 Leitchfield Road, Suite 104",Elizabethtown,Hardin,42701,"2645 Leitchfield Road, Suite 104 Elizabethtown, Kentucky 42701",37.6762853,-85.9004382,270-234-8180,1,1,1,1,,1,,,1,,1,1,1,,,,,,,,,,,,,,,,,,1,1,1,1,,,1,1,Licensed substance abuse training,1,1,1,1,1,1,,,,,,,,1,1,,,,,,2,2,,2,,,,,,,1,Name of facility is not Center for Behavorial Health- E-town Addiction Solutions was bought out a few years ago.,,1,38.04020691,-84.53890228,-1
Peaceful Solutions Counseling Services,2,,,,," , Kentucky ",37.8393332,-84.2700179,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No good return call time was given. Was sent automatically to Voicemail.,1,38.04020691,-84.53890228,-1
Hilltop Counseling Services,2,,,,," , Kentucky ",37.8393332,-84.2700179,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No answer was given. Sent directly to voicemail.,1,38.04020691,-84.53890228,-1
"Hilltop Counseling Services-Glasgow, KY",2,,,,," , Kentucky ",37.8393332,-84.2700179,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Call was sent directly to Voicemail.,1,38.04020691,-84.53890228,-1
Alliance Counseling Associates,1,104 Reynolds Rd,Glasgow,Barren,42141,"104 Reynolds Rd Glasgow, Kentucky 42141",37.0145732,-85.9291327,270-678-4801,2,,,,,,,,1,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,1,,,1,,1,,,1,1,1,1,1,1,1,2,2,,2,,,,,,,1,,,1,38.04020691,-84.53890228,-1
ASAP Consulting Plus,1,282 South Mayo Trail,Pikeville,Pike,41501,"282 South Mayo Trail Pikeville, Kentucky 41501",37.4697294,-82.5339214,606-437-0097,2,,,,,,,,1,,1,,1,,,,,,,,,,,,,,,,,,1,1,1,1,,,1,2,Licensed doctors and have specific DEA numbers to prescribe buprenorphine treatments,,,,1,1,1,,,,,,,,1,2,,,,,,2,2,,2,,,,,,,1,"Payments are cash only. Money not due up front, but due before the end of the month. ",,1,38.04020691,-84.53890228,-1
VanArk Behavioral Mangement Inc,2,,,,," , Kentucky ",37.8393332,-84.2700179,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No answer. No Voicemail.,1,38.04020691,-84.53890228,-1
Time Out Community Counseling and,2,,,,," , Kentucky ",37.8393332,-84.2700179,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No Answer. Sent straight to voicemail.,1,38.04020691,-84.53890228,-1
Rivendell Behavioral Health Services,2,,,,," , Kentucky ",37.8393332,-84.2700179,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Sent to voicemail.,1,38.04020691,-84.53890228,-1
Hilltop Counseling Services,1,1045 Elm Street,Bowling Green,Warren,42101,"1045 Elm Street Bowling Green, Kentucky 42101",36.9895545,-86.44185,270-843-1804,2,,,,,,,,1,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,1,,,1,,1,1,,1,1,1,1,1,1,1,2,2,,2,,,,,,,1,This site would like a copy of this directory for their own resources to access state wide treatment centers and network.,,1,38.04020691,-84.53890228,-1
,,,,,," , Kentucky ",37.8393332,-84.2700179,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-1
,,,,,," , Kentucky ",37.8393332,-84.2700179,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-1
,,,,,," , Kentucky ",37.8393332,-84.2700179,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-1
,,,,,," , Kentucky ",37.8393332,-84.2700179,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,-1
Lincoln Trail Behavioral Health System,1,3909 South Wilson Road,Radcliff,Hardin,42701,"3909 South Wilson Road Radcliff, Kentucky 42701",37.7890572,-85.912875,270-351-9444,1,1,1,1,1,1,,1,,,,,,1,1,1,1,1,,,,,,,,,1,,1,"narcotics, benzodiazepines",,,,,,,,,,,,1,1,1,1,,1,,,,,,1,1,,,,,,2,2,,2,,,,,,,1,This program provides medical detox and acute residential treatment.  Medicare will cover detoxification.  Commercial insurance will not.  The cost of treatment is $600 per day and they ask that you bring $3600 with you.,,1,38.06149292,-84.45659637,-1
C. Ferguson,1,1402 N. Dixie Highway,Radcliff,Hardin,42701,"1402 N. Dixie Highway Radcliff, Kentucky 42701",37.7236086,-85.8818323,270-352-5220,2,,,,,,,,1,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,,,,,,,,1,2,,,,,,2,2,,2,,,,,,,1,They mostly serve clients who have been cahrged with DUI.  They also offer Anger Management classes.  The agency was formerly known as AA and Associates.,,1,38.06149292,-84.45659637,-1
Westcare Emergency Shelter,1,173 Redale Road,Pikeville,Pike,41501,"173 Redale Road Pikeville, Kentucky 41501",37.487124,-82.5272789,606-432-9442,2,,,,,,,,1,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,,,,,,,,,1,2,,,,,,2,2,,1,,,1,,,,1,,,1,38.06149292,-84.45659637,-1
Westcare Hal Roger's Recovery Center,1,10057 Elkhorn Road,Ashcamp,Pike,41512,"10057 Elkhorn Road Ashcamp, Kentucky 41512",37.2542194,-82.4809657,606-754-7077,2,,,,,,,1,,,,,,1,,,,,,1,,,,,,,1,,1,"narcotics, benzodiazepines",,,,,,,,,,,,,1,1,,,,,,,,,1,2,,,,,,2,1,,2,,,,,,,1,"Minimum stay is 90 days, maximum stay is 180.  The days are structured (16 hours).  ",,1,38.06149292,-84.45659637,-1
Ultimate Treatment Center,1,3655 Winchester Avenue,Ashland,Boyd,41101,"3655 Winchester Avenue Ashland, Kentucky 41101",38.4639587,-82.6157182,606-393-4632,2,,,,,,,,1,,,1,1,,,,,,,,,,,,,,,,,,1,1,1,1,,,1,,,1,1,,1,1,1,,,,,1,,,1,1,,,,,,2,2,,2,,,,,,,1,This is a methadone program.  They also provide suboxone.  The intake fee is $75 for males and $80 for females.  The cost of methadone is $14.50 per day.,,1,38.06149292,-84.45659637,-1
,1,,Lexington,,40517," Lexington, Kentucky 40517",37.9817391,-84.485507,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,1,38.02870178,-84.50749969,-1
"VanArk Behavioral Management, Inc.",1,3416 Chloe Road,Pikeville,Pike,41653,"3416 Chloe Road Pikeville, Kentucky 41653",37.4542848,-82.4773342,606-432-9983,2,,,,,,,,1,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,,,,,,,,1,1,,,,,,2,2,,2,,,,,,,1,"This outpatient facility also offers parenting classes, anger management classes and is a DOT SAP provider.  ",,1,38.06149292,-84.45659637,-1
"VanArk Behavioral Management, Inc.  ",1,201 Broadway,Paintsville,Johnson,41240,"201 Broadway Paintsville, Kentucky 41240",37.8112941,-82.8051718,884-217-4422,2,,,,,,,,1,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,,,,,,,,1,1,,,,,,2,2,,2,,,,,,,1,This program provides outpatient services primarily to those who have been convicted of DUI.,,1,38.06149292,-84.45659637,-1
Alternatives in Treatment,1,941 Lehman Avenue,Bowling Green,Warren,42103,"941 Lehman Avenue Bowling Green, Kentucky 42103",36.9887109,-86.4313059,270-846-8014,2,,,,,,,,1,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,,,,,,,,1,1,,,,,,2,2,,2,,,,,,,1,This outpatient program provides services to those who have been convicted of DUI.,,1,38.06149292,-84.45659637,-1
